,Feature,Type,Mean,Std,ShapiroWilkStat,ShapiroWilkp,DAgK2Stat,DAgK2p,KSStat,KSp,ConfIntlower,ConfIntupper,KurtosisStat,Kurtosisp,SkewnessStat,Skewnessp,MannWStat,MannWp,WilcoxonStat,Wilcoxonp,KruskalStat,Kruskalp,PearsonCorr,Pearsonp,SpearmanCorr,Spearmanp,KendalTauCorr,KendalTaup
0,Age,Numerical,33.54666666666667,7.779646428387645,0.9183290600776672,1.0063814365190993e-11,31.649541365186696,1.3408784627196478e-07,1.0,0.0,32.61810101722091,34.475232316112425,0.2963328885390235,0.7669758718077617,5.617982572450436,1.9319998102092963e-08,0.0,8.816100517889571e-105,0.0,5.65231205698756e-51,471.2028156211028,1.7539933794708698e-104,-0.11444728052806515,0.04764493505499726,-0.09785755568264402,0.09065936471062463,-0.08172254761989782,0.0906239877570063
1,FamSize,Numerical,3.966666666666667,1.4853427322776354,0.8775355815887451,9.586619794169342e-15,90.80257267318149,1.9163369462327928e-20,0.9372498680518208,0.0,3.7893786303088532,4.14395470302448,6.264868099141018,3.73141118329209e-10,7.1801114457609,6.965461630502678e-13,3285.0,3.7339082357604194e-92,61.5,5.477970847865511e-49,413.18409307910366,7.4308353863512e-92,-0.02452660630035324,0.6722197621936069,-0.005486522002157293,0.9246060641086751,-0.004942165002451798,0.9244174229466395
2,Income,Numerical,82632.0436255597,24674.614972055464,0.7864056825637817,1.5973444409645994e-19,153.10765364306766,5.663637424258222e-34,1.0,0.0,79686.92265029973,85577.16460081967,6.920480461827718,4.5011439887908305e-12,10.257417015044698,1.0959915043671629e-24,0.0,5.838084010114146e-105,0.0,5.0844137169067514e-51,472.02545090717837,1.1614961835590602e-104,-0.008590378855944804,0.8822075722318276,-0.016003079209653253,0.7825158088414796,-0.013726638577401192,0.7819957985663801
3,PerCapita,Numerical,24601.416157108022,14277.851378529358,0.7938119173049927,3.374805133867148e-19,146.8560200364506,1.2900912568093293e-32,1.0,0.0,22897.23558026118,26305.596733954866,6.624815520322186,3.476821152765585e-11,10.147307000290711,3.406332843106775e-24,0.0,8.848968848787321e-105,0.0,5.923407000991773e-51,471.1953885841121,1.7605327917102236e-104,-0.0168259943972302,0.7716336506436307,-0.022959606881205564,0.692057725888524,-0.01910886742710502,0.6913610329620667
4,TotalExp,Numerical,10.568333333333333,7.523059126287275,0.9250773191452026,3.9456937717119445e-11,27.012647265186388,1.3623169983149212e-06,0.9072498680518208,3.29417586223917e-310,9.670393517208863,11.466273149457804,-0.4069466093642699,0.6840472020595377,5.181413100913042,2.202111773958198e-07,5160.0,1.1374021393957006e-83,198.5,6.012158154803518e-48,374.2130379423833,2.2641176261869597e-83,-0.13282978446759036,0.02137574427545327,-0.1254831128111285,0.029783798313078112,-0.10474586719785932,0.030021556286347603
5,PGIExp,Numerical,9.463333333333333,6.8701712544721065,0.912551760673523,3.312197521462834e-12,39.145676616031125,3.1595434171978078e-09,0.9005832013851541,3.823119684323292e-301,8.643321126938673,10.283345539727993,1.424066862066525,0.15442711795862818,6.092430564921944,1.1120908568908154e-09,6240.0,3.869824731076819e-79,283.5,4.479721767435126e-48,353.40007185420063,7.704347457577404e-79,-0.16618643235766836,0.003895337084314252,-0.1491366265835638,0.009686596272441093,-0.12481974985320884,0.009914033906922417
6,WardExp,Numerical,4.872333333333334,4.100118428286612,0.807177722454071,1.3711592953886987e-18,132.59648706781596,1.6107890674153797e-29,0.8205832013851542,2.3322353989768005e-222,4.382950021866369,5.361716644800298,6.221773079322839,4.915676578784974e-10,9.689480213986174,3.3422527068727205e-22,12405.0,2.85275152857578e-57,861.5,5.1988965723801905e-43,253.0267259034963,5.683314454182224e-57,0.046185325580402226,0.4254282786653015,0.05187410003874953,0.37060651758880825,0.04425282117457455,0.3697258313415248
7,NShiftPerMon,Numerical,5.086666666666667,1.8539902431317279,0.7618937492370605,1.5305655685018253e-20,58.7996108368057,1.7054018813879728e-13,0.9086501019683699,3.40901356525e-312,4.865377476980894,5.307955856352439,2.125024800356407,0.03358454356081807,-7.367759526116193,1.735194165835262e-13,5730.0,1.2346403743294993e-82,397.5,7.974103192509756e-49,369.45654177378157,2.4576613402736387e-82,-0.030653586133462023,0.5969140194024366,-0.028811525241503804,0.6191536737044937,-0.02656505075946825,0.6183446017407151
8,NShiftGap,Numerical,15.09,11.905364014077533,0.7036421895027161,1.1173198669609708e-22,189.5108484306111,7.050860671553953e-42,0.9266666656800789,0.0,13.66899556626621,16.51100443373379,7.8521924501734635,4.0882649967746915e-15,11.307250866415318,1.2081581314098431e-29,6240.0,1.0468096880909291e-78,231.0,6.201299032988276e-50,351.41537492065186,2.0841233406927103e-78,-0.06891120479060237,0.23404269758087384,-0.06781800891423115,0.24156367072925475,-0.0593373821670629,0.24092295131242447
9,NShiftAfterOff,Numerical,1.5133333333333334,0.5810458413827462,0.7043353319168091,1.1793346839664188e-22,26.35952740211249,1.88843200339772e-06,0.7980114127352096,8.563624128744674e-206,1.4439806687838792,1.5826859978827876,-2.0274975098433474,0.04261155885420973,-4.716861376984861,2.3951075982211683e-06,34815.0,1.6888273022171994e-08,5502.0,6.611892826610672e-06,30.480468348611076,3.3724482322967535e-08,-0.14044353639446208,0.014913365057423855,-0.13895519740779205,0.01602163550007658,-0.13639343391832773,0.016271863629743706
